Feature,Importance
Study_Hours,0.2654787502847748
study_efficiency,0.20243966618459175
Concept_Clarity,0.12920713146313947
Explanation_Quality,0.08225097014379433
teacher_support_score,0.07450961985321565
Previous_Marks,0.06123836750195032
Student_Interaction,0.04615579460630713
Attendance,0.03754672804038133
Lab_Facility,0.01817260081810701
lab_usage,0.016072123431415015
Learning_Resources,0.009986978755479008
Lab_Timing,0.009982247327795851
health_factor,0.00860723571881015
Parent_Education,0.0076127150437529535
Peer_Influence,0.006550055724525843
Distance_From_School,0.00541491843735564
Sleep_Hours,0.005074105445184202
Coaching_Class,0.004576168037896404
Internet_Access,0.004094634324940762
Gender,0.003127606035345005
Sports_Activity,0.0019015828212373066
