Study_Hours,Attendance,Previous_Marks,Coaching_Class,Sleep_Hours,Sports_Activity,Learning_Resources,Internet_Access,Peer_Influence,Parent_Education,Distance_From_School,Gender,Concept_Clarity,Explanation_Quality,Student_Interaction,Lab_Facility,Lab_Timing,Performance
35,94,90,1,7,4,3,0,Low,Graduate,Medium,Female,Excellent,Excellent,High,2,3,Excellent
33,82,78,0,8,3,4,0,Low,Postgraduate,Near,Male,Excellent,Excellent,High,5,0,Excellent
14,57,39,0,5,2,3,0,Low,School,Far,Female,Average,Average,Medium,0,3,Average
15,69,49,1,6,2,3,1,High,School,Medium,Female,Average,Average,Medium,2,0,Average
14,46,54,0,6,1,4,1,Low,Postgraduate,Far,Male,Average,Average,Medium,0,2,Average
22,67,69,0,7,2,3,0,Low,Graduate,Near,Male,Good,Good,High,1,0,Good
35,96,96,0,8,4,4,0,High,Graduate,Far,Female,Excellent,Excellent,High,2,1,Excellent
22,75,66,1,7,2,4,1,Low,Postgraduate,Far,Male,Good,Good,High,0,2,Good
29,98,92,0,7,4,1,1,High,Graduate,Far,Male,Excellent,Excellent,High,5,1,Excellent
6,27,33,1,5,0,1,1,High,Graduate,Medium,Male,Poor,Poor,Low,0,2,Poor
21,75,63,0,7,2,3,0,Medium,Graduate,Far,Male,Good,Good,High,1,2,Good
33,84,75,1,7,2,1,0,High,Postgraduate,Near,Female,Excellent,Excellent,High,3,2,Excellent
17,71,59,1,6,3,3,0,Low,Postgraduate,Near,Male,Good,Good,High,2,0,Good
25,88,88,1,7,2,2,1,Medium,Graduate,Near,Male,Excellent,Excellent,High,3,2,Excellent
5,41,21,1,4,1,4,0,Low,Postgraduate,Medium,Female,Poor,Poor,Low,1,1,Poor
39,97,76,0,8,3,2,0,Low,Postgraduate,Near,Female,Excellent,Excellent,High,4,2,Excellent
27,98,88,0,8,4,1,0,Medium,Graduate,Near,Female,Excellent,Excellent,High,1,2,Excellent
21,81,61,0,6,2,1,0,Medium,Graduate,Near,Female,Good,Good,High,4,0,Good
11,46,44,0,5,1,1,1,Low,Postgraduate,Far,Female,Average,Average,Medium,5,0,Average
7,43,20,1,4,0,1,1,High,School,Far,Male,Poor,Poor,Low,4,0,Poor
25,94,85,1,7,2,4,1,High,Postgraduate,Far,Female,Excellent,Excellent,High,5,3,Excellent
31,91,79,1,7,4,5,0,Medium,Graduate,Far,Female,Excellent,Excellent,High,4,3,Excellent
28,83,77,0,8,4,4,1,Low,School,Near,Female,Excellent,Excellent,High,1,3,Excellent
35,94,96,0,8,4,4,1,High,Postgraduate,Near,Female,Excellent,Excellent,High,4,2,Excellent
25,84,81,0,8,2,1,0,Low,School,Far,Female,Excellent,Excellent,High,2,2,Excellent
9,52,45,0,5,1,5,1,Low,Graduate,Medium,Male,Average,Average,Medium,2,3,Average
24,82,94,1,8,4,3,1,High,Postgraduate,Near,Male,Excellent,Excellent,High,2,2,Excellent
26,86,76,1,8,3,5,0,High,School,Medium,Female,Excellent,Excellent,High,2,2,Excellent
24,90,79,0,7,2,3,1,Low,School,Near,Male,Excellent,Excellent,High,1,1,Excellent
30,86,93,1,8,4,3,1,High,Graduate,Far,Female,Excellent,Excellent,High,5,0,Excellent
39,97,91,1,7,3,3,0,Medium,Graduate,Near,Female,Excellent,Excellent,High,0,3,Excellent
20,84,66,1,6,2,4,1,Low,School,Far,Male,Good,Good,High,3,1,Good
25,80,77,1,7,2,5,0,High,School,Far,Male,Excellent,Excellent,High,0,1,Excellent
24,67,63,0,7,3,1,0,Low,School,Near,Female,Good,Good,High,4,0,Good
4,44,11,0,3,0,1,0,Low,Graduate,Medium,Male,Poor,Poor,Low,4,0,Poor
14,51,56,0,5,1,5,1,Low,Graduate,Medium,Male,Average,Average,Medium,2,2,Average
13,69,57,1,5,2,1,0,High,Graduate,Medium,Male,Average,Average,Medium,5,1,Average
14,61,38,1,5,2,4,0,Medium,Postgraduate,Medium,Female,Average,Average,Medium,2,0,Average
32,87,88,0,8,2,2,0,Low,Graduate,Medium,Female,Excellent,Excellent,High,4,1,Excellent
6,31,37,0,4,0,4,0,High,Graduate,Medium,Male,Poor,Poor,Low,4,0,Poor
30,83,83,1,8,2,2,1,Medium,Graduate,Near,Female,Excellent,Excellent,High,5,2,Excellent
12,63,37,1,6,1,4,0,Low,Graduate,Near,Female,Average,Average,Medium,4,1,Average
35,86,92,1,8,2,1,0,High,Postgraduate,Near,Female,Excellent,Excellent,High,3,2,Excellent
18,70,65,0,7,3,1,1,Low,Postgraduate,Far,Male,Good,Good,High,1,0,Good
38,98,76,0,7,2,1,0,Low,School,Far,Female,Excellent,Excellent,High,5,0,Excellent
9,54,57,1,6,1,5,0,High,School,Near,Male,Average,Average,Medium,0,3,Average
12,62,59,0,5,1,2,0,High,School,Far,Female,Average,Average,Medium,3,2,Average
14,55,36,0,6,1,5,1,High,Graduate,Far,Male,Average,Average,Medium,4,2,Average
24,74,71,0,6,2,2,0,Medium,School,Medium,Female,Good,Good,High,1,1,Good
16,76,75,0,6,2,3,0,High,School,Near,Male,Good,Good,High,4,3,Good
19,82,73,1,7,2,3,0,High,School,Far,Female,Good,Good,High,3,0,Good
10,50,36,0,5,2,2,0,Low,School,Medium,Female,Average,Average,Medium,4,2,Average
34,87,78,1,8,3,2,1,Medium,Postgraduate,Far,Male,Excellent,Excellent,High,4,3,Excellent
34,93,78,1,8,2,3,0,Medium,Postgraduate,Medium,Female,Excellent,Excellent,High,4,0,Excellent
9,45,55,1,5,1,3,1,Medium,Postgraduate,Far,Male,Average,Average,Medium,1,3,Average
16,74,75,1,7,2,3,0,Medium,Postgraduate,Medium,Male,Good,Good,High,5,3,Good
3,37,17,1,5,1,5,1,Low,School,Far,Female,Poor,Poor,Low,0,0,Poor
13,59,39,1,6,2,3,0,High,School,Near,Female,Average,Average,Medium,5,1,Average
10,66,41,1,5,2,5,0,High,School,Medium,Female,Average,Average,Medium,3,3,Average
17,73,56,0,6,2,1,1,Low,Graduate,Medium,Male,Good,Good,High,5,2,Good
21,78,77,1,7,2,2,0,High,School,Far,Female,Good,Good,High,1,0,Good
